company,city,state,source,source_id,provenance_url,naics_code,naics_sector,solar_fit_score,energy_intensity,tax_appetite,recommended_ownership,load_profile,est_system_kw,est_annual_kwh,est_annual_savings_usd,est_net_payback_yrs,est_25yr_npv_p50_usd,sales_script,script_cfo,script_facilities,script_sustainability,pitch_angle
"Coiling Technologies","Houston","TX","osm_industrial","osm-1243144170","https://www.openstreetmap.org/way/osm-1243144170","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Talyard Brewing","Houston","TX","osm_industrial","osm-1243523957","https://www.openstreetmap.org/way/osm-1243523957","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"C&S Wholesale Grocers Association","Houston","TX","osm_industrial","osm-1244164266","https://www.openstreetmap.org/way/osm-1244164266","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Service Yard","Houston","TX","osm_industrial","osm-1258337403","https://www.openstreetmap.org/way/osm-1258337403","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Fleet Maintenance","Houston","TX","osm_industrial","osm-1258337412","https://www.openstreetmap.org/way/osm-1258337412","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Deployment Center","Houston","TX","osm_industrial","osm-1258337413","https://www.openstreetmap.org/way/osm-1258337413","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Radio Shelter","Houston","TX","osm_industrial","osm-1258337422","https://www.openstreetmap.org/way/osm-1258337422","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Harris County Esd 11","Houston","TX","osm_industrial","osm-1258337424","https://www.openstreetmap.org/way/osm-1258337424","","","","","","","","600","904032","90403","7.3","970164","","","","","Emergency_services_district_headquarters building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Advanced Business Copiers","Houston","TX","osm_industrial","osm-1274267647","https://www.openstreetmap.org/way/osm-1274267647","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Parker Brothers Sand And Gravel","Houston","TX","osm_industrial","osm-1277956402","https://www.openstreetmap.org/way/osm-1277956402","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
